Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 253 <size 188, parent 233, gen gap 1, avg score 115.057, runs 9.75<
  Program 254 <size 184, parent 2, gen gap 1, avg score 85.419, runs 11.5<
  Program 255 <size 191, parent 248, gen gap 1, avg score 130.293, runs 2<
  Program 256 <size 189, parent 62, gen gap 1, avg score 22.5683, runs 6<
  Program 257 <size 190, parent 231, gen gap 1, avg score 130.634, runs 4<
  Program 258 <size 189, parent 185, gen gap 1, avg score 66.2257, runs 6<
  Program 259 <size 189, parent 137, gen gap 1, avg score 131.115, runs 5<
  Program 260 <size 191, parent 120, gen gap 1, avg score 37.4216, runs 7<
  Program 261 <size 188, parent 132, gen gap 1, avg score 99.8481, runs 10<
  Program 262 <size 188, parent 126, gen gap 1, avg score 131.667, runs 8<
  Program 263 <size 188, parent 109, gen gap 1, avg score 90.771, runs 11<
  Program 264 <size 190, parent 202, gen gap 1, avg score 114.865, runs 8<
  Program 265 <size 186, parent 14, gen gap 1, avg score 133.779, runs 2<
  Program 266 <size 190, parent 231, gen gap 1, avg score 98.9129, runs 6<
  Program 267 <size 187, parent 76, gen gap 1, avg score 109.533, runs 7<
  Program 268 <size 189, parent 88, gen gap 1, avg score 66.1813, runs 4<
  Program 269 <size 186, parent 35, gen gap 1, avg score 129.183, runs 8.5<
  Program 270 <size 189, parent 70, gen gap 1, avg score 44.1209, runs 6<
  Program 271 <size 187, parent 79, gen gap 1, avg score 106.584, runs 8.25<
  Program 272 <size 189, parent 185, gen gap 1, avg score 131.321, runs 4<
  Program 273 <size 187, parent 84, gen gap 1, avg score 108.026, runs 8<
  Program 274 <size 189, parent 117, gen gap 1, avg score 112.258, runs 10<
  Program 275 <size 187, parent 269, gen gap 1, avg score 123.228, runs 7<
  Program 276 <size 188, parent 238, gen gap 1, avg score 112.929, runs 5<
  Program 277 <size 189, parent 170, gen gap 1, avg score 79.4708, runs 5<
  Program 278 <size 186, parent 14, gen gap 1, avg score 111.466, runs 12<
  Program 279 <size 188, parent 38, gen gap 1, avg score 67.705, runs 2<
